Timestamp;G√©ner;Nivel m√°ximo de estudio;Alcald√≠;Edad;øHas escuchado alguna vez sobre la existencia de la violencia de gÈnero?;øConsideras un problema la violencia de gÈnero?;øAlguna ves has presenciado violencia de gÈnero?;øDonde has presenciado violencia de gÈnero?;øCu·les crees que podrÌan ser formas de Violencia de gÈnero?;øPor quÈ motivo crees que se dÈ la violencia de gÈnero?;øDentro de tu n˙cleo familiar has visto alguna vez violencia de gÈnero?;øQuÈ te provoca esta encuesta?;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 3:44:34;Mujer;Preparatoria;Coyoac√°;18;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 5:23:44;Hombre;Preparatoria;Iztapalapa;23;S√;S√;S√;En la familia, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexua;Falta de educacion, Religi√≥n, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo, Falta de difusi√;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 5:28:19;Hombre;Universidad;Coyoac√°;19;S√;S√;No;Ninguno;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 7:31:55;Mujer;Universidad;Milpa Alta;23;S√;S√;No;Ninguno;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 8:04:37;Mujer;Universidad;Gustavo A. Madero;26;S√;S√;S√;En la familia, En el trabajo, En la escuela, Noviazgo;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 8:14:37;Mujer;Preparatoria;Miguel Hidalgo;21;S√;S√;S√;En el trabajo;Todas las anteriores;Falta de educacion, Apariencia f√≠sic;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 8:21:53;Mujer;Universidad;Iztacalco;21;S√;S√;S√;En la familia, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 9:02:21;Hombre;Preparatoria;Tlalpan;25;S√;S√;S√;En la calle;Todas las anteriores;Todas las anteriores;Tal vez;Molestia;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 9:07:33;Mujer;Universidad;Tl√°hua;22;S√;S√;S√;En la escuela;Todas las anteriores;Costumbre familiar, Falta de cultura;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 9:24:26;Mujer;Preparatoria;Otro;18;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
